"название","активность","Сорт.","Дата изм.","id","дата","Уровень знаний","фреймворки"
User:4506,Да,500,"08.01.2024 23:57:54",313367,"08.01.2024",Novice [115637],Django [115737]
User:3985,Да,500,"08.01.2024 20:58:40",313320,"01.02.2022",Senior [115640],ASP. NET (ASP. NET MVC) [115735]
User:3985,Да,500,"08.01.2024 20:58:40",313321,"01.02.2022",Senior [115640],.Net Framework [115732]
User:3985,Да,500,"08.01.2024 20:58:40",313322,"01.02.2022",Middle [115639],Другое [115747]
User:3985,Да,500,"08.01.2024 20:58:40",313329,"01.02.2022",Middle [115639],Другое [115747]
User:4417,Да,500,"28.12.2023 09:51:43",312467,"01.01.2018",Expert [115641],.Net Framework [115732]
User:4417,Да,500,"28.12.2023 09:51:43",312469,"01.01.2018",Expert [115641],ASP. NET (ASP. NET MVC) [115735]
User:4417,Да,500,"28.12.2023 09:51:43",312470,"01.01.2020",Senior [115640],React [216057]
User:4504,Да,500,"27.12.2023 13:17:28",312376,"27.12.2023",Middle [115639],Другое [115747]
User:3931,Да,500,"25.12.2023 19:07:20",311995,"25.12.2019",Middle [115639],.Net Framework [115732]
User:3931,Да,500,"25.12.2023 19:07:20",311996,"25.12.2018",Middle [115639],React [216057]
User:3931,Да,500,"25.12.2023 19:07:20",311997,"25.12.2017",Middle [115639],Symphony [115739]
User:3931,Да,500,"25.12.2023 19:07:20",311998,"25.12.2019",Senior [115640],Vue.js [115741]
User:3931,Да,500,"25.12.2023 19:07:20",311999,"25.12.2016",Использовал на проекте [283045],Zend [115746]
User:3868,Да,500,"20.12.2023 17:46:58",311435,"02.12.2019",Senior [115640],Vue.js [115741]
User:3398,Да,500,"20.12.2023 14:13:47",311399,"14.08.2016",Novice [115637],React [216057]
User:3398,Да,500,"20.12.2023 14:13:47",311400,"14.08.2016",Novice [115637],Vue.js [115741]
User:3398,Да,500,"20.12.2023 14:13:47",311401,"14.08.2016",Novice [115637],Angular [115742]
User:4160,Да,500,"08.12.2023 12:44:46",308887,"10.10.2023",Middle [115639],Spring [216034]
User:4160,Да,500,"08.12.2023 12:44:46",308888,"01.01.2023",Junior [115638],Другое [115747]
User:4160,Да,500,"08.12.2023 12:44:46",308892,"10.08.2023",Junior [115638],Другое [115747]
User:4160,Да,500,"08.12.2023 12:40:59",308889,"10.08.2023",Novice [115637],Другое [115747]
User:4401,Да,500,"01.12.2023 14:29:12",307856,"25.07.2022",Junior [115638],Другое [115747]
User:4401,Да,500,"01.12.2023 14:29:12",307857,"03.10.2022",Junior [115638],Vue.js [115741]
User:2743,Да,500,"28.11.2023 17:15:25",307435,"27.10.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:312,Да,500,"24.11.2023 13:07:53",306942,"24.11.2023",Novice [115637],Django [115737]
User:3591,Да,500,"21.11.2023 10:32:15",266607,"17.03.2023",Junior [115638],Spring [216034]
User:3591,Да,500,"21.11.2023 10:32:15",266608,"17.03.2023",Junior [115638],React [216057]
User:3591,Да,500,"21.11.2023 10:32:15",306424,"21.11.2023",Middle [115639],.Net Framework [115732]
User:3591,Да,500,"21.11.2023 10:32:15",306425,"21.11.2023",Middle [115639],Angular [115742]
User:3591,Да,500,"21.11.2023 10:32:15",306426,"21.11.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:3591,Да,500,"21.11.2023 10:32:15",306427,"21.11.2023",Middle [115639],.Net Framework [115732]
User:4021,Да,500,"15.11.2023 18:36:50",305929,"15.11.2023",Использовал на проекте [283045],.Net Framework [115732]
User:4021,Да,500,"15.11.2023 18:36:50",305930,"15.11.2023",Использовал на проекте [283045],Django [115737]
User:4021,Да,500,"15.11.2023 18:36:50",305931,"15.11.2023",Использовал на проекте [283045],Symphony [115739]
User:4021,Да,500,"15.11.2023 18:36:50",305932,"15.11.2023",Использовал на проекте [283045],Spring [216034]
User:4021,Да,500,"15.11.2023 18:36:50",305933,"15.11.2023",Использовал на проекте [283045],Vue.js [115741]
User:4021,Да,500,"15.11.2023 18:36:50",305934,"15.11.2023",Использовал на проекте [283045],Другое [115747]
User:4363,Да,500,"14.11.2023 13:40:29",305542,"14.11.2023",Junior [115638],.Net Framework [115732]
User:4363,Да,500,"14.11.2023 13:40:29",305543,"14.11.2023",Junior [115638],Spring [216034]
User:4559,Да,500,"10.11.2023 11:38:53",305047,"10.11.2023",Middle [115639],Vue.js [115741]
User:4190,Да,500,"09.11.2023 18:01:32",304853,"09.11.2023",Middle [115639],.Net Framework [115732]
User:4190,Да,500,"09.11.2023 18:01:18",304852,"09.11.2023",Использовал на проекте [283045],.Net Framework [115732]
User:3795,Да,500,"01.11.2023 11:02:35",303636,"07.10.2023",Middle [115639],Angular [115742]
User:3738,Да,500,"23.10.2023 12:07:09",302372,"23.10.2023",Middle [115639],Другое [115747]
User:3738,Да,500,"23.10.2023 12:07:09",302382,"23.10.2023",Middle [115639],Другое [115747]
User:4515,Да,500,"23.10.2023 11:35:53",302361,"01.10.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:4342,Да,500,"19.10.2023 13:45:57",289873,"05.07.2021",Junior [115638],Django [115737]
User:4342,Да,500,"19.10.2023 13:45:57",301954,"25.09.2023",Middle [115639],Другое [115747]
User:3396,Да,500,"17.10.2023 17:07:46",301578,"03.02.2023",Middle [115639],Другое [115747]
User:4286,Да,500,"09.09.2023 13:46:31",296369,"09.09.2023",Middle [115639],Vue.js [115741]
User:4286,Да,500,"09.09.2023 13:46:31",296370,"09.09.2023",Junior [115638],Django [115737]
User:4395,Да,500,"07.09.2023 19:39:23",296075,"07.09.2023",Middle [115639],.Net Framework [115732]
User:4395,Да,500,"07.09.2023 19:39:23",296076,"07.09.2023",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4299,Да,500,"30.08.2023 20:57:19",294670,"30.08.2023",Senior [115640],Spring [216034]
User:4299,Да,500,"30.08.2023 20:57:19",294671,"30.08.2023",Middle [115639],Другое [115747]
User:4341,Да,500,"30.08.2023 13:19:51",294555,"30.08.2023",Middle [115639],.Net Framework [115732]
User:4341,Да,500,"30.08.2023 13:19:51",294556,"30.08.2023",Junior [115638],React [216057]
User:3514,Да,500,"30.08.2023 11:21:08",294482,"01.08.2023",Junior [115638],Другое [115747]
User:2767,Да,500,"30.08.2023 11:20:42",294481,"29.08.2023",Junior [115638],React [216057]
User:4057,Да,500,"29.08.2023 11:32:39",293618,"24.08.2023",Middle [115639],.Net Framework [115732]
User:4057,Да,500,"29.08.2023 11:32:39",293619,"24.08.2023",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4057,Да,500,"29.08.2023 11:32:39",293620,"24.08.2023",Novice [115637],React [216057]
User:4057,Да,500,"29.08.2023 11:32:39",293621,"24.08.2023",Novice [115637],Spring [216034]
User:4057,Да,500,"29.08.2023 11:32:39",293622,"24.08.2023",Middle [115639],.Net Framework [115732]
User:4057,Да,500,"29.08.2023 11:32:39",293623,"24.08.2023",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4057,Да,500,"29.08.2023 11:32:39",293624,"24.08.2023",Novice [115637],React [216057]
User:4260,Да,500,"28.08.2023 19:40:57",293990,"28.08.2023",Middle [115639],.Net Framework [115732]
User:4260,Да,500,"28.08.2023 19:40:57",293991,"28.08.2023",Middle [115639],React [216057]
User:4260,Да,500,"28.08.2023 19:40:57",293992,"28.08.2023",Senior [115640],Spring [216034]
User:4260,Да,500,"28.08.2023 19:40:57",293993,"28.08.2023",Middle [115639],Vue.js [115741]
User:4260,Да,500,"28.08.2023 19:40:57",293994,"28.08.2023",Middle [115639],Yii [115738]
User:4260,Да,500,"28.08.2023 19:40:57",293995,"28.08.2023",Senior [115640],Другое [115747]
User:4260,Да,500,"28.08.2023 19:40:57",293996,"28.08.2023",Senior [115640],Другое [115747]
User:4324,Да,500,"28.08.2023 17:53:56",293931,"01.03.2019",Middle [115639],Angular [115742]
User:4324,Да,500,"28.08.2023 17:53:56",293932,"27.08.2022",Middle [115639],React [216057]
User:4324,Да,500,"28.08.2023 17:53:56",293933,"27.08.2020",Junior [115638],Symphony [115739]
User:4324,Да,500,"28.08.2023 17:53:56",293934,"01.08.2023",Junior [115638],Vue.js [115741]
User:4324,Да,500,"28.08.2023 17:53:56",293935,"04.08.2020",Middle [115639],Другое [115747]
User:4324,Да,500,"28.08.2023 17:53:56",293936,"30.08.2022",Middle [115639],Другое [115747]
User:4324,Да,500,"28.08.2023 17:53:56",293937,"01.08.2023",Junior [115638],Другое [115747]
User:1142,Да,500,"28.08.2023 17:42:42",293910,"28.08.2023","",.Net Framework [115732]
User:1142,Да,500,"28.08.2023 17:42:42",293911,"28.08.2023","",ASP. NET (ASP. NET MVC) [115735]
User:1142,Да,500,"28.08.2023 17:42:42",293912,"28.08.2023","",React [216057]
User:1612,Да,500,"28.08.2023 17:32:59",293888,"01.08.2021",Junior [115638],Vue.js [115741]
User:1459,Да,500,"07.08.2023 09:51:43",290685,"21.11.2021",Junior [115638],.Net Framework [115732]
User:1459,Да,500,"07.08.2023 09:51:43",290686,"21.11.2021",Junior [115638],Angular [115742]
User:1459,Да,500,"07.08.2023 09:51:43",290687,"21.11.2021",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4377,Да,500,"04.08.2023 12:27:34",290458,"04.08.2023",Junior [115638],Django [115737]
User:4377,Да,500,"04.08.2023 12:27:34",290459,"04.08.2023",Senior [115640],Другое [115747]
User:4377,Да,500,"04.08.2023 12:27:34",290460,"04.08.2023",Middle [115639],Другое [115747]
User:4377,Да,500,"04.08.2023 12:27:34",290461,"04.08.2023",Middle [115639],Другое [115747]
User:3991,Да,500,"20.07.2023 10:30:25",287721,"01.10.2019",Middle [115639],Другое [115747]
User:3991,Да,500,"20.07.2023 10:30:25",287722,"01.10.2019",Middle [115639],Другое [115747]
User:4015,Да,500,"19.07.2023 19:25:18",287619,"19.07.2023",Novice [115637],.Net Framework [115732]
User:4015,Да,500,"19.07.2023 19:25:18",287620,"19.07.2023",Novice [115637],ASP. NET (ASP. NET MVC) [115735]
User:3619,Да,500,"19.07.2023 15:47:25",287497,"21.11.2022",Novice [115637],Django [115737]
User:3619,Да,500,"19.07.2023 15:47:25",287499,"21.11.2022",Novice [115637],ASP. NET (ASP. NET MVC) [115735]
User:3577,Да,500,"18.07.2023 17:10:16",287223,"01.04.2023","",React [216057]
User:3516,Да,500,"18.07.2023 14:16:37",287103,"17.07.2023",Junior [115638],Vue.js [115741]
User:4378,Да,500,"17.07.2023 07:44:09",283685,"17.07.2023",Junior [115638],Django [115737]
User:4378,Да,500,"17.07.2023 07:44:09",283686,"17.07.2023",Middle [115639],React [216057]
User:4378,Да,500,"17.07.2023 07:44:09",283687,"17.07.2023",Junior [115638],Vue.js [115741]
User:4378,Да,500,"17.07.2023 07:44:09",283688,"17.07.2023",Junior [115638],Другое [115747]
User:4356,Да,500,"16.07.2023 19:20:22",283563,"16.07.2023",Middle [115639],React [216057]
User:982,Да,500,"13.07.2023 12:06:37",283174,"13.07.2023",Middle [115639],React [216057]
User:3795,Да,500,"11.07.2023 18:08:38",282941,"07.07.2023",Junior [115638],Angular [115742]
User:3420,Да,500,"07.07.2023 14:05:06",281385,"04.07.2023",Middle [115639],.Net Framework [115732]
User:3420,Да,500,"07.07.2023 14:05:06",281386,"04.07.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:3420,Да,500,"07.07.2023 14:05:06",281387,"04.07.2023",Senior [115640],React [216057]
User:3420,Да,500,"07.07.2023 14:05:06",281388,"04.07.2023",Middle [115639],Vue.js [115741]
User:3420,Да,500,"07.07.2023 14:05:06",282161,"07.07.2023","",Другое [115747]
User:3420,Да,500,"07.07.2023 14:05:06",282162,"07.07.2023","",Другое [115747]
User:1062,Да,500,"05.07.2023 18:53:36",281819,"01.01.2018",Middle [115639],Spring [216034]
User:1062,Да,500,"05.07.2023 18:53:36",281820,"01.01.2018",Middle [115639],Symphony [115739]
User:3731,Да,500,"04.07.2023 15:49:14",281548,"04.07.2023",Senior [115640],Spring [216034]
User:3731,Да,500,"04.07.2023 15:49:14",281549,"04.07.2023",Middle [115639],Django [115737]
User:3731,Да,500,"04.07.2023 15:49:14",281550,"04.07.2023",Senior [115640],Другое [115747]
User:1283,Да,500,"04.07.2023 14:13:29",281482,"28.11.2022",Junior [115638],.Net Framework [115732]
User:2863,Да,500,"04.07.2023 11:36:48",281207,"03.07.2023",Novice [115637],Vue.js [115741]
User:2863,Да,500,"04.07.2023 11:36:48",281430,"03.07.2023",Middle [115639],Spring [216034]
User:2863,Да,500,"03.07.2023 18:30:51",281206,"03.07.2023",Junior [115638],Spring [216034]
User:3817,Да,500,"03.07.2023 11:00:09",281012,"04.04.2016",Junior [115638],.Net Framework [115732]
User:4026,Да,500,"30.06.2023 17:58:33",280812,"30.06.2023",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4026,Да,500,"30.06.2023 17:58:33",280813,"30.06.2023",Novice [115637],.Net Framework [115732]
User:4026,Да,500,"30.06.2023 17:58:33",280814,"30.06.2023",Junior [115638],Django [115737]
User:4026,Да,500,"30.06.2023 17:58:23",280809,"30.06.2023",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:4026,Да,500,"30.06.2023 17:58:23",280810,"30.06.2023",Novice [115637],.Net Framework [115732]
User:4026,Да,500,"30.06.2023 17:58:23",280811,"30.06.2023",Junior [115638],Django [115737]
User:3560,Да,500,"30.06.2023 16:01:08",178745,"30.06.2023",Middle [115639],.Net Framework [115732]
User:3560,Да,500,"30.06.2023 16:01:08",178746,"30.06.2023",Middle [115639],ASP. NET (ASP. NET MVC) [115735]
User:3560,Да,500,"30.06.2023 16:01:08",280727,"30.06.2023",Junior [115638],Spring [216034]
User:3560,Да,500,"30.06.2023 16:01:08",280728,"30.06.2023",Junior [115638],Другое [115747]
User:4219,Да,500,"15.06.2023 18:16:43",278572,"11.01.2016",Middle [115639],React [216057]
User:4037,Да,500,"14.06.2023 16:08:30",276035,"14.06.2023",Junior [115638],Vue.js [115741]
User:4037,Да,500,"14.06.2023 16:08:30",278343,"14.06.2023",Middle [115639],React [216057]
User:4036,Да,500,"29.05.2023 12:56:26",276024,"29.05.2023",Junior [115638],React [216057]
User:4036,Да,500,"29.05.2023 12:56:26",276025,"22.11.2022",Novice [115637],Django [115737]
User:4229,Да,500,"29.01.2023 23:19:00",261274,"01.01.2019",Middle [115639],React [216057]
User:3573,Да,500,"29.08.2022 11:29:46",237433,"29.08.2022","",Другое [115747]
User:1117,Да,500,"22.08.2022 16:19:09",236659,"22.08.2022","",Другое [115747]
User:3591,Да,500,"15.07.2022 14:34:15",231373,"",Junior [115638],.Net Framework [115732]
User:3591,Да,500,"15.07.2022 14:34:12",231370,"",Junior [115638],.Net Framework [115732]
User:3591,Да,500,"15.07.2022 14:34:12",231371,"",Junior [115638],Angular [115742]
User:3591,Да,500,"15.07.2022 14:34:12",231372,"",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:3252,Да,500,"07.07.2022 18:05:08",230587,"",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:3252,Да,500,"07.07.2022 18:05:08",230588,"",Middle [115639],Vue.js [115741]
User:3252,Да,500,"07.07.2022 18:05:08",230589,"",Middle [115639],Symphony [115739]
User:3252,Да,500,"07.07.2022 18:05:08",230590,"",Middle [115639],Другое [115747]
User:3794,Да,500,"30.05.2022 17:25:16",225330,"",Junior [115638],ASP. NET (ASP. NET MVC) [115735]
User:3794,Да,500,"30.05.2022 17:25:16",225331,"",Junior [115638],.Net Framework [115732]
User:3435,Да,500,"01.04.2022 11:06:04",215674,"",Expert [115641],Другое [115747]
User:3435,Да,500,"01.04.2022 11:06:04",215675,"",Expert [115641],Другое [115747]
User:3435,Да,500,"01.04.2022 11:06:04",215676,"",Senior [115640],JSF [115733]
User:3435,Да,500,"01.04.2022 11:06:04",215677,"",Middle [115639],GWT [115734]
User:3435,Да,500,"01.04.2022 11:06:04",215678,"",Senior [115640],ASP. NET (ASP. NET MVC) [115735]
User:3435,Да,500,"01.04.2022 11:06:04",215679,"",Middle [115639],Django [115737]
User:3435,Да,500,"01.04.2022 11:06:04",215680,"",Middle [115639],Yii [115738]
User:3435,Да,500,"01.04.2022 11:06:04",215681,"",Middle [115639],Symphony [115739]
User:3435,Да,500,"01.04.2022 11:06:04",215682,"",Middle [115639],Kohana [115745]
User:3435,Да,500,"01.04.2022 11:06:04",215683,"",Middle [115639],Django [115737]
User:3435,Да,500,"01.04.2022 11:06:04",215684,"",Middle [115639],Zend [115746]
User:3435,Да,500,"01.04.2022 11:06:04",215685,"",Middle [115639],Angular [115742]
User:3435,Да,500,"01.04.2022 11:06:04",215686,"",Middle [115639],Другое [115747]
User:3435,Да,500,"01.04.2022 11:06:04",215687,"",Middle [115639],""
User:3744,Да,500,"25.03.2022 18:14:42",214641,"",Middle [115639],Другое [115747]
User:1211,Да,500,"05.10.2021 12:36:08",195846,"",Junior [115638],Django [115737]
User:270,Да,500,"08.07.2021 10:44:15",187457,"",Senior [115640],.Net Framework [115732]
User:270,Да,500,"08.07.2021 10:44:15",187458,"",Senior [115640],ASP. NET (ASP. NET MVC) [115735]
User:3614,Да,500,"07.06.2021 17:33:32",184046,"",Middle [115639],.Net Framework [115732]
User:3514,Да,500,"01.06.2021 12:58:16",183210,"",Novice [115637],ASP. NET (ASP. NET MVC) [115735]
User:3310,Да,500,"27.04.2021 15:53:52",178813,"",Senior [115640],Django [115737]
User:3310,Да,500,"27.04.2021 15:53:52",178814,"",Middle [115639],Vue.js [115741]
User:3470,Да,500,"01.03.2021 10:01:24",149915,"",Novice [115637],Vue.js [115741]
